date,city,station,sigma_f,labels_json,best_contract,yes_ask_prob,model_prob,value_prob,observed_high_f,winning_contract,won,profit,strategy,computed_winning,computed_won
2026-01-10,Chicago,KMDW,2.000000,"{""labels"": [""34° or below"", ""35° to 36°"", ""37° to 38°"", ""39° to 40°"", ""41° to 42°"", ""43° or above""], ""bounds"": [{""label"": ""34° or below"", ""lo"": null, ""hi"": 34}, {""label"": ""35° to 36°"", ""lo"": 35, ""hi"": 36}, {""label"": ""37° to 38°"", ""lo"": 37, ""hi"": 38}, {""label"": ""39° to 40°"", ""lo"": 39, ""hi"": 40}, {""label"": ""41° to 42°"", ""lo"": 41, ""hi"": 42}, {""label"": ""43° or above"", ""lo"": 43, ""hi"": null}]}",41° to 42°,0.970000,0.996929,0.026929,,,,,,,lock_0930
2026-01-10,Austin,KAUS,2.000000,"{""labels"": [""56° or below"", ""57° to 58°"", ""59° to 60°"", ""61° to 62°"", ""63° to 64°"", ""65° or above""], ""bounds"": [{""label"": ""56° or below"", ""lo"": null, ""hi"": 56}, {""label"": ""57° to 58°"", ""lo"": 57, ""hi"": 58}, {""label"": ""59° to 60°"", ""lo"": 59, ""hi"": 60}, {""label"": ""61° to 62°"", ""lo"": 61, ""hi"": 62}, {""label"": ""63° to 64°"", ""lo"": 63, ""hi"": 64}, {""label"": ""65° or above"", ""lo"": 65, ""hi"": null}]}",61° to 62°,0.190000,0.969314,0.779314,,,,,,,lock_0930
2026-01-10,Philadelphia,KPHL,2.000000,"{""labels"": [""51° or below"", ""52° to 53°"", ""54° to 55°"", ""56° to 57°"", ""58° to 59°"", ""60° or above""], ""bounds"": [{""label"": ""51° or below"", ""lo"": null, ""hi"": 51}, {""label"": ""52° to 53°"", ""lo"": 52, ""hi"": 53}, {""label"": ""54° to 55°"", ""lo"": 54, ""hi"": 55}, {""label"": ""56° to 57°"", ""lo"": 56, ""hi"": 57}, {""label"": ""58° to 59°"", ""lo"": 58, ""hi"": 59}, {""label"": ""60° or above"", ""lo"": 60, ""hi"": null}]}",51° or below,0.980000,0.991591,0.011591,,,,,,,lock_0930
2026-01-10,Los Angeles,KLAX,2.000000,"{""labels"": [""63° or below"", ""64° to 65°"", ""66° to 67°"", ""68° to 69°"", ""70° to 71°"", ""72° or above""], ""bounds"": [{""label"": ""63° or below"", ""lo"": null, ""hi"": 63}, {""label"": ""64° to 65°"", ""lo"": 64, ""hi"": 65}, {""label"": ""66° to 67°"", ""lo"": 66, ""hi"": 67}, {""label"": ""68° to 69°"", ""lo"": 68, ""hi"": 69}, {""label"": ""70° to 71°"", ""lo"": 70, ""hi"": 71}, {""label"": ""72° or above"", ""lo"": 72, ""hi"": null}]}",66° to 67°,0.220000,0.393587,0.173587,,,,,,,lock_0930
2026-01-10,Denver,KDEN,2.000000,"{""labels"": [""40° or below"", ""41° to 42°"", ""43° to 44°"", ""45° to 46°"", ""47° to 48°"", ""49° or above""], ""bounds"": [{""label"": ""40° or below"", ""lo"": null, ""hi"": 40}, {""label"": ""41° to 42°"", ""lo"": 41, ""hi"": 42}, {""label"": ""43° to 44°"", ""lo"": 43, ""hi"": 44}, {""label"": ""45° to 46°"", ""lo"": 45, ""hi"": 46}, {""label"": ""47° to 48°"", ""lo"": 47, ""hi"": 48}, {""label"": ""49° or above"", ""lo"": 49, ""hi"": null}]}",45° to 46°,0.380000,0.468548,0.088548,,,,,,,lock_0930
2026-01-10,Miami,KMIA,2.000000,"{""labels"": [""76° or below"", ""77° to 78°"", ""79° to 80°"", ""81° to 82°"", ""83° to 84°"", ""85° or above""], ""bounds"": [{""label"": ""76° or below"", ""lo"": null, ""hi"": 76}, {""label"": ""77° to 78°"", ""lo"": 77, ""hi"": 78}, {""label"": ""79° to 80°"", ""lo"": 79, ""hi"": 80}, {""label"": ""81° to 82°"", ""lo"": 81, ""hi"": 82}, {""label"": ""83° to 84°"", ""lo"": 83, ""hi"": 84}, {""label"": ""85° or above"", ""lo"": 85, ""hi"": null}]}",83° to 84°,0.330000,0.400284,0.070284,,,,,,,lock_0930
2026-01-10,NYC,KNYC,2.000000,"{""labels"": [""51° or below"", ""52° to 53°"", ""54° to 55°"", ""56° to 57°"", ""58° to 59°"", ""60° or above""], ""bounds"": [{""label"": ""51° or below"", ""lo"": null, ""hi"": 51}, {""label"": ""52° to 53°"", ""lo"": 52, ""hi"": 53}, {""label"": ""54° to 55°"", ""lo"": 54, ""hi"": 55}, {""label"": ""56° to 57°"", ""lo"": 56, ""hi"": 57}, {""label"": ""58° to 59°"", ""lo"": 58, ""hi"": 59}, {""label"": ""60° or above"", ""lo"": 60, ""hi"": null}]}",52° to 53°,1.000000,0.999966,-0.000034,,,,,,,lock_0930
2026-01-10,Chicago,KMDW,2.000000,"{""labels"": [""34° or below"", ""35° to 36°"", ""37° to 38°"", ""39° to 40°"", ""41° to 42°"", ""43° or above""], ""bounds"": [{""label"": ""34° or below"", ""lo"": null, ""hi"": 34}, {""label"": ""35° to 36°"", ""lo"": 35, ""hi"": 36}, {""label"": ""37° to 38°"", ""lo"": 37, ""hi"": 38}, {""label"": ""39° to 40°"", ""lo"": 39, ""hi"": 40}, {""label"": ""41° to 42°"", ""lo"": 41, ""hi"": 42}, {""label"": ""43° or above"", ""lo"": 43, ""hi"": null}]}",41° to 42°,0.980000,0.996929,0.016929,,,,,,,lock_0930
2026-01-10,Austin,KAUS,2.000000,"{""labels"": [""56° or below"", ""57° to 58°"", ""59° to 60°"", ""61° to 62°"", ""63° to 64°"", ""65° or above""], ""bounds"": [{""label"": ""56° or below"", ""lo"": null, ""hi"": 56}, {""label"": ""57° to 58°"", ""lo"": 57, ""hi"": 58}, {""label"": ""59° to 60°"", ""lo"": 59, ""hi"": 60}, {""label"": ""61° to 62°"", ""lo"": 61, ""hi"": 62}, {""label"": ""63° to 64°"", ""lo"": 63, ""hi"": 64}, {""label"": ""65° or above"", ""lo"": 65, ""hi"": null}]}",61° to 62°,0.180000,0.969314,0.789314,,,,,,,lock_0930
2026-01-10,Philadelphia,KPHL,2.000000,"{""labels"": [""51° or below"", ""52° to 53°"", ""54° to 55°"", ""56° to 57°"", ""58° to 59°"", ""60° or above""], ""bounds"": [{""label"": ""51° or below"", ""lo"": null, ""hi"": 51}, {""label"": ""52° to 53°"", ""lo"": 52, ""hi"": 53}, {""label"": ""54° to 55°"", ""lo"": 54, ""hi"": 55}, {""label"": ""56° to 57°"", ""lo"": 56, ""hi"": 57}, {""label"": ""58° to 59°"", ""lo"": 58, ""hi"": 59}, {""label"": ""60° or above"", ""lo"": 60, ""hi"": null}]}",52° to 53°,0.040000,0.170733,0.130733,,,,,,,lock_0930
